====== Comparison Table ====== 

fn: (best, worst, mean, std)

=== BOA Results ===
f1: (8.42069341719438e-05, 5.791583510200987, 0.4245853440309063, 1.2718361514829613)
f2: (0.3982009195962579, 0.43577097017696786, 0.40588766676410615, 0.00903376153556308)
f3: (0.0007961215902992725, 0.18517164829919577, 0.03922927700331118, 0.045308183610474125)
f4: (4.984009617508517e-05, 0.11036172279329644, 0.015443623074476774, 0.02804610196219693)
f5: (-1.9094283567297765, -0.4201587194249128, -1.7187070752689118, 0.3195981933561029)
f6: (0.05722234353325073, 0.0964566468068449, 0.08222087092768794, 0.009318178723191819)
f7: (0.02587998937861027, 0.07521332012314991, 0.056220010197212275, 0.010688761444442908)
f8: (2.3510062861690897, 3.002005141463903, 2.7700642693122273, 0.1832948528848081)
f9: (0.0947102325380917, 0.11191591430815852, 0.10313069196643487, 0.004194773691226943)
f10: (0.2854364745780984, 0.33859155764230664, 0.31263851164510364, 0.012769940925978268)
f11: (0.21680552460617294, 0.26719251812485134, 0.23265453133992292, 0.010510980682346339)
f12: (0.007043515857128863, 0.045367994411898066, 0.03128489886489853, 0.009560053263130993)
f13: (0.11945558178464252, 0.13707748035587156, 0.131459812254733, 0.004146054908859857)
f14: (0.00038614760947889925, 0.001598870574638595, 0.0009367350529493775, 0.00033690995290712846)

=== SABOA Results ===
f1: (1.5677170501504572e-15, 0.00023230359821435937, 1.3775879116496618e-05, 5.034812408619949e-05)
f2: (0.39788735772977546, 0.39788735772973816, 0.3978873577297418, 8.97854046839468e-15)
f3: (0.0, 1.3428396499757816e-15, 6.714984786382417e-17, 2.9266331391472496e-16)
f4: (5.0194786036146855e-24, 0.000219563149153014, 2.009039190380112e-05, 5.2432070408395614e-05)
f5: (-1.9132229549810367, -1.9132229549810367, -1.9132229549810367, 2.220446049250313e-16)
f6: (0.0, 0.0, 0.0, 0.0)
f7: (0.0, 0.0, 0.0, 0.0)
f8: (1.8178665630387643, 3.023809208976121, 2.3449779097913086, 0.27848244850158843)
f9: (0.0, 0.0, 0.0, 0.0)
f10: (0.0, 0.0, 0.0, 0.0)
f11: (0.0, 0.0, 0.0, 0.0)
f12: (0.0, 0.0, 0.0, 0.0)
f13: (0.0, 0.0, 0.0, 0.0)
f14: (0.0, 0.0, 0.0, 0.0)
